Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0168273"",""C0772394"",""C1571583"",""C0048470""]";2147;"""C0002965""";[3576,5069,5328]
"[""C0070166"",""C1620287"",""C1999375"",""C0040207""]";64805;"""C0002965""";[3576,5069,5328]
"[""C0247025"",""C0253563""]";[3674,3690];"""C0002965""";[3576,5069,5328]
"""C0288672""";3690;"""C0002965""";[3576,5069,5328]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0003123""";[885,1392,1394,1395,3360,3440,3553,3557,3558,4852,5697,7124,7132,8797,90226]
"""C0039663""";1268;"""C0003123""";[885,1392,1394,1395,3360,3440,3553,3557,3558,4852,5697,7124,7132,8797,90226]
"""C0025853""";[1813,3359,3360];"""C0003123""";[885,1392,1394,1395,3360,3440,3553,3557,3558,4852,5697,7124,7132,8797,90226]
"[""C0002575"",""C0039771"",""C0055578""]";[134,135,136,140,5139,5140,5141,5142,5143,5144];"""C0003578""";[590,3350,9152]
"""C0006644""";[134,135,136,140,3783,5142];"""C0003578""";[590,3350,9152]
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0012265"",""C0011689"",""C0012258""]";[476,477,478,480];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0033497"",""C0022245"",""C0006388"",""C0007299""]";[153,154,155];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0016229""";6331;"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0051696"",""C0028066"",""C0028005"",""C0012373"",""C0028116"",""C0071304""]";[775,776,778,779];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0001443""";[134,135,136,140];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0002502"",""C0040869""]";6337;"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0034414""";[1565,6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0033429""";[153,154,6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0037707""";[153,154,3757];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0053799"",""C0000946"",""C0025859"",""C0004147"",""C0005320""]";153;"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0012702""";[3762,6323,6324,6326,6327,6328,6329,6330,6331,6332,6334,6335,6336,11280,55800];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0042523""";[775,776,778,779,8911,8912,8913];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0033216""";[6323,6324,6326,6327,6328,6329,6330,6331,6332,6334,6335,6336,11280,55800];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0043031"",""C0005640"",""C0031444""]";79001;"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0766326""";[610,775,776,778,779,3759,6323,6326,6328,6329,6331,6332,6334,6335,6336,10021,11280,57657,348980];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0114771""";[3756,3757];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"""C0002598""";[148,150,3743,3757,6331];"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
