Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"""C0006230""";[146,148,150,1812,1813,1814,1815,3350,3352,3357];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0025678"",""C0244821"",""C0074710"",""C1700683""]";[1813,1814,1815];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"""C0003596""";[146,150,151,152,1813,1814,1815,1816];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"""C0107994""";[150,152,1813,1814,1815,1816,3350,3352,3356];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0025242"",""C0060135"",""C0002403"",""C0022614""]";[2902,2903,2904,2905,2906,116443,116444];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0036579"",""C0525678""]";4129;"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0649350"",""C0039245""]";[43,590];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"""C0023570""";1814;"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0036442"",""C0005578"",""C0041009"",""C0033254""]";1128;"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"""C0031007""";[1812,1813,1814,1815,1816];"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0165921"",""C0246330""]";1312;"""C0030567""";[199,627,683,1272,1305,1356,1394,1565,1571,1586,1609,1620,1644,1728,1740,1812,1813,1906,2203,2244,2580,2629,2643,2668,2670,2876,2941,2944,2950,3077,3082,3122,3162,3303,3313,3480,3481,3482,3569,3630,3643,3761,4099,4128,4129,4137,4217,4600,4803,4842,4905,5071,5243,6014,6128,6147,6202,6456,6531,6571,6622,6647,6648,6720,6888,7124,7473,7784,9045,9726,9842,10295,10457,10743,11315,22876,23400,51693,54541,55532,55737,55974,56922,57111,57568,64710,65018,79780,80333,84286,84660,114134,120892,136853,147081,154043,161145,162540,254428,284058,339105,342125,100129583,100631383]
"[""C0036442"",""C0005578"",""C0041009"",""C0033254""]";1128;"""C0030569""";[2668,5071,5997,6469,23400]
"""C0008269""";[3039,3040];"""C0030807""";718
"[""C0004259"",""C0012125"",""C0005098"",""C0017970""]";[1128,1129,1131,1132,1133];"""C0030920""";[1906,2520,3553]
"[""C0015620"",""C0008783"",""C0034665"",""C0085154""]";3274;"""C0030920""";[1906,2520,3553]
"""C0033447""";[1128,1129,1131];"""C0030920""";[1906,2520,3553]
"[""C0028978"",""C0050940"",""C0937846"",""C0378482"",""C0081876"",""C2348248""]";495;"""C0030920""";[1906,2520,3553]
"[""C0031923"",""C0301374""]";[1128,1131];"""C0030920""";[1906,2520,3553]
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0031069""";4210
"""C0040373""";[146,147,148,150,151,152,3269,3274];"""C0031190""";[1373,2294]
"""C0048897""";5053;"""C0031485""";[5053,5860]
"""C0013090""";[4312,4316,4317,4322];"""C0032227""";7124
"[""C0039286"",""C0014912"",""C0015011"",""C0009008""]";2099;"""C0032460""";[104,466,563,581,596,817,864,891,990,1013,1164,1364,1588,1645,1646,1742,1756,1995,2324,2492,2529,2549,2661,2778,2812,3070,3084,3161,3283,3284,3500,3630,3643,3850,3952,3972,3973,3976,3977,4000,4058,4085,4544,4603,4796,5140,5724,5733,5862,5869,5950,6102,6168,6241,6286,6337,6343,6440,6665,6715,6770,6821,6899,6939,7037,7110,7153,7272,7328,7755,8091,8463,8572,8644,8817,9134,9200,9205,9210,10058,10413,10454,10468,10772,11173,22924,23112,23162,23658,23671,25865,29127,29997,30000,50943,51477,53335,54206,54443,54947,55165,55503,55721,55783,55872,56946,57104,57449,57455,57636,57706,57731,63892,79039,79685,79694,79906,80127,80264,84376,84909,90326,90668,91608,93611,93659,113251,114822,116840,126306,131566,144577,146433,146664,147906,151354,164395,170394,171558,256472,256933,257106,259266,286749,338324,347088,349565,374920,374955,378938,388552,440836,441151,653545]
"""C0524639""";2492;"""C0032460""";[104,466,563,581,596,817,864,891,990,1013,1164,1364,1588,1645,1646,1742,1756,1995,2324,2492,2529,2549,2661,2778,2812,3070,3084,3161,3283,3284,3500,3630,3643,3850,3952,3972,3973,3976,3977,4000,4058,4085,4544,4603,4796,5140,5724,5733,5862,5869,5950,6102,6168,6241,6286,6337,6343,6440,6665,6715,6770,6821,6899,6939,7037,7110,7153,7272,7328,7755,8091,8463,8572,8644,8817,9134,9200,9205,9210,10058,10413,10454,10468,10772,11173,22924,23112,23162,23658,23671,25865,29127,29997,30000,50943,51477,53335,54206,54443,54947,55165,55503,55721,55783,55872,56946,57104,57449,57455,57636,57706,57731,63892,79039,79685,79694,79906,80127,80264,84376,84909,90326,90668,91608,93611,93659,113251,114822,116840,126306,131566,144577,146433,146664,147906,151354,164395,170394,171558,256472,256933,257106,259266,286749,338324,347088,349565,374920,374955,378938,388552,440836,441151,653545]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0032463""";[3039,3043,3440,3717,4352,54790]
"""C0020402""";6241;"""C0032463""";[3039,3043,3440,3717,4352,54790]
"""C0051809""";[5139,5140];"""C0032463""";[3039,3043,3440,3717,4352,54790]
"""C2931926""";[3716,3717];"""C0032463""";[3039,3043,3440,3717,4352,54790]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0032617""";[551,3952,5020,5578,9536]
"[""C0020261"",""C0032613"",""C0020273"",""C0025696"",""C0025854"",""C0056831"",""C0008273"",""C0164608"",""C0040899"",""C0021186"",""C0004975""]";6559;"""C0032617""";[551,3952,5020,5578,9536]
"[""C0002502"",""C0040869""]";6337;"""C0032617""";[551,3952,5020,5578,9536]
"[""C0076840"",""C0016860"",""C0014963""]";6557;"""C0032617""";[551,3952,5020,5578,9536]
"""C0060389""";[6715,6716];"""C0032617""";[551,3952,5020,5578,9536]
"""C0008286""";[146,147,1813,1814,1815,3269,3356,3358,59340];"""C0032708""";211
"""C0020336""";[51284,54106];"""C0032708""";211
"[""C0169964"",""C0143083""]";2690;"""C0032897""";[4692,6638,54551]
"[""C0082607"",""C0026088""]";[2908,5241];"""C0032987""";10321
"""C0016225""";[5141,5142,5143,5144,5150,5151,8622,27115];"""C0033581""";3586
"[""C0006938"",""C0014025"",""C0065374"",""C0118168"",""C0076891"",""C0066685"",""C0072857"",""C0136123"",""C0072973"",""C0053091""]";1636;"""C0033687""";[183,185,213,241,348,387,1184,1508,1514,1536,1773,1803,2990,3106,3117,3123,3458,3557,3952,4010,4358,4690,4868,5058,5062,5443,5465,5743,5972,6337,6647,6696,7040,7422,7827,8440,26762,94025]
"[""C0248719"",""C0386393"",""C0717550"",""C0216784"",""C0288171"",""C0287041"",""C0126174"",""C2698291""]";185;"""C0033687""";[183,185,213,241,348,387,1184,1508,1514,1536,1773,1803,2990,3106,3117,3123,3458,3557,3952,4010,4358,4690,4868,5058,5062,5443,5465,5743,5972,6337,6647,6696,7040,7422,7827,8440,26762,94025]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0033774""";[2150,3269,6335,6863,8647,59340]
"""C0011816""";[1135,1136,1137,1141,2903,6532,10280,116443];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0014938"",""C0014942"",""C0244404""]";[2099,2100];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"""C0218986""";[3559,3560];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"""C0010620""";[1132,1133,3269,3356,3357,3358];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"""C0013085""";[3269,6530];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0039286"",""C0014912"",""C0015011"",""C0009008""]";2099;"""C0033774""";[2150,3269,6335,6863,8647,59340]
"""C0012050""";[6331,6336];"""C0033774""";[2150,3269,6335,6863,8647,59340]
"[""C0171023"",""C0040979"",""C0039943"",""C0024056""]";[1813,1814,1815,3356,3358];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C0031184"",""C0040989"",""C0050458""]";1813;"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0033229""";[1813,1814];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C0008188"",""C0009011"",""C0032910"",""C0012010"",""C0024002"",""C0039468"",""C1436328"",""C0040879"",""C0016375"",""C0014892""]";[2554,2555,2556,2558,2565,2566,2567];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0031935""";[1812,1813,1814,1815,1816,3356];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C2000088"",""C0026388"",""C0039955"",""C0025497"",""C0247194"",""C0753678""]";[1813,3356];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C0013136"",""C0018546"",""C0033399""]";[1813,1814,1815,3356];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0008286""";[146,147,1813,1814,1815,3269,3356,3358,59340];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0016368""";[146,148,1813,1814,3356,3363];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0006949""";[1135,1143,6323,6326,6328,6329,6331,6332,6334,6335,6336,6532,11280];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0009079""";[146,151,1131,1812,1813,1816,3269,3356,3357,3363];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0013030""";[153,1812,1813,1814,1815,1816];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C0123091"",""C0380393""]";[1813,3356,3358];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0012772""";217;"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"""C0008290""";[1813,1814,3356,3358];"""C0033975""";[274,551,627,1816,2902,2908,3351,3356,4914,5816,6616,7447,8991,10452,10814,10815,54504,57419,81578,114088]
"[""C0053817"",""C0073992"",""C0071129"",""C0029193"",""C0001927"",""C1722260"",""C0039542"",""C0022176"",""C0060657""]";154;"""C0034067""";[1548,2052,3162,3694,4321,5265,7040]
"[""C0700580"",""C0006945"",""C0041190""]";1131;"""C0034067""";[1548,2052,3162,3694,4321,5265,7040]
"[""C0002575"",""C0039771"",""C0055578""]";[134,135,136,140,5139,5140,5141,5142,5143,5144];"""C0034067""";[1548,2052,3162,3694,4321,5265,7040]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0035204""";[2778,5173,7356]
"[""C0027360"",""C0009214"",""C0020264"",""C0033493"",""C0006405"",""C0027358"",""C0027348"",""C0068377""]";[4985,4986,4988];"""C0035204""";[2778,5173,7356]
"[""C0017887"",""C0022252"",""C0064079"",""C0028128""]";2983;"""C0035220""";[7139,84466]
"[""C0025678"",""C0244821"",""C0074710"",""C1700683""]";[1813,1814,1815];"""C0035258""";[4211,5443,5607,5789,7018,114781]
"[""C0008188"",""C0009011"",""C0032910"",""C0012010"",""C0024002"",""C0039468"",""C1436328"",""C0040879"",""C0016375"",""C0014892""]";[2554,2555,2556,2558,2565,2566,2567];"""C0035258""";[4211,5443,5607,5789,7018,114781]
"""C0006949""";[1135,1143,6323,6326,6328,6329,6331,6332,6334,6335,6336,6532,11280];"""C0035258""";[4211,5443,5607,5789,7018,114781]
"""C0013090""";[4312,4316,4317,4322];"""C0035585""";10411
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0036202""";[311,3115,3123,3606,6556,6648,7040,56244,64127,283234]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0036220""";3569
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0036220""";3569
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0036220""";3569
"""C0281666""";[5914,5915,5916,6256,6257,6258];"""C0036220""";3569
"[""C0015133"",""C0039512""]";[7153,7155];"""C0036220""";3569
"""C0299792""";[147,148,152,1813,1814,1815,3350,3356,3358];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0006949""";[1135,1143,6323,6326,6328,6329,6331,6332,6334,6335,6336,6532,11280];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C2000088"",""C0026388"",""C0039955"",""C0025497"",""C0247194"",""C0753678""]";[1813,3356];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
